DATASET,DOCUMENT,LLM_NAME,RESPONSE,TIME
jurídico,datasets\jurídico\Dictamen OJ-15-2026.pdf,Qwen/Qwen3.5-2B,,2.762993500015
jurídico,datasets\jurídico\Dictamen OJ-518-2021.pdf,Qwen/Qwen3.5-2B,,1.0385232999979053
jurídico,datasets\jurídico\Dictamen OJ-586-2023.pdf,Qwen/Qwen3.5-2B,,0.971868299995549
museo,datasets\museo\Justificación de asistencia Sofia Irola 16-07.pdf,Qwen/Qwen3.5-2B,,1.0267435999994632
museo,datasets\museo\Solicitud vacaciones Sofia Irola 26-07.pdf,Qwen/Qwen3.5-2B,,1.0806164999958128
jurídico,datasets\jurídico\Dictamen OJ-15-2026.pdf,Qwen/Qwen1.5-0.5B,,2.2623720000265166
jurídico,datasets\jurídico\Dictamen OJ-518-2021.pdf,Qwen/Qwen1.5-0.5B,,1.9716139000083786
jurídico,datasets\jurídico\Dictamen OJ-586-2023.pdf,Qwen/Qwen1.5-0.5B,,1.905685599980643
museo,datasets\museo\Justificación de asistencia Sofia Irola 16-07.pdf,Qwen/Qwen1.5-0.5B,,1.9705657000013161
museo,datasets\museo\Solicitud vacaciones Sofia Irola 26-07.pdf,Qwen/Qwen1.5-0.5B,,1.8823804999992717
jurídico,datasets\jurídico\Dictamen OJ-15-2026.pdf,meta-llama/Llama-3.2-3B-Instruct,,208.79944689999684
jurídico,datasets\jurídico\Dictamen OJ-518-2021.pdf,meta-llama/Llama-3.2-3B-Instruct,,1.077220999985002
jurídico,datasets\jurídico\Dictamen OJ-586-2023.pdf,meta-llama/Llama-3.2-3B-Instruct,,2.082373999990523
museo,datasets\museo\Justificación de asistencia Sofia Irola 16-07.pdf,meta-llama/Llama-3.2-3B-Instruct,,1.0757377999834716
museo,datasets\museo\Solicitud vacaciones Sofia Irola 26-07.pdf,meta-llama/Llama-3.2-3B-Instruct,,1.5203394000127446
jurídico,datasets\jurídico\Dictamen OJ-15-2026.pdf,meta-llama/Llama-3.2-1B-Instruct,,66.49713029997656
jurídico,datasets\jurídico\Dictamen OJ-518-2021.pdf,meta-llama/Llama-3.2-1B-Instruct,,2.210963099991204
jurídico,datasets\jurídico\Dictamen OJ-586-2023.pdf,meta-llama/Llama-3.2-1B-Instruct,,2.376873600005638
museo,datasets\museo\Justificación de asistencia Sofia Irola 16-07.pdf,meta-llama/Llama-3.2-1B-Instruct,,1.9655990000173915
museo,datasets\museo\Solicitud vacaciones Sofia Irola 26-07.pdf,meta-llama/Llama-3.2-1B-Instruct,,1.2651316999981645
jurídico,datasets\jurídico\Dictamen OJ-15-2026.pdf,google/gemma-4-E2B-it,gestión judicial,124.764196300006
jurídico,datasets\jurídico\Dictamen OJ-518-2021.pdf,google/gemma-4-E2B-it,gestión judicial,0.9060383999894839
jurídico,datasets\jurídico\Dictamen OJ-586-2023.pdf,google/gemma-4-E2B-it,gestión judicial,1.1025297000014689
museo,datasets\museo\Justificación de asistencia Sofia Irola 16-07.pdf,google/gemma-4-E2B-it,solicitudes administrativas,3.4409325999731664
museo,datasets\museo\Solicitud vacaciones Sofia Irola 26-07.pdf,google/gemma-4-E2B-it,solicitudes administrativas,3.1210155000153463
jurídico,datasets\jurídico\Dictamen OJ-15-2026.pdf,google/gemma-2b-it,,2.9076116000069305
jurídico,datasets\jurídico\Dictamen OJ-518-2021.pdf,google/gemma-2b-it,,0.8260103999928106
jurídico,datasets\jurídico\Dictamen OJ-586-2023.pdf,google/gemma-2b-it,,2.3885178999917116
museo,datasets\museo\Justificación de asistencia Sofia Irola 16-07.pdf,google/gemma-2b-it,,0.7193007000023499
museo,datasets\museo\Solicitud vacaciones Sofia Irola 26-07.pdf,google/gemma-2b-it,,0.6872776999953203
